pku_id;film;type
1;Письмо чемпиону;0
2;Почер…детский;0
3;Таёжный гамбит;0
4;Вемол;0
5;Зачет;0
6;Первый шаг;0
7;Капсула времени;0
8;;0
9;Отражение;0
10;Есть, чем гордиться!;0
11;Из глубины веков;0
12;Старший брат;0
13;Кадетский лайфхак;0
14;Дулаг 205;0
15;Не совпадение, а отражение;0
16;Послание человеку;0
17;Без вести пропавшее училище;0
18;Приказано выжить;0
19;Командовать парадом буду я!;0
20;Суворовец - это особое звание!;0
21;Наука веровать - наука побеждать!;0
22;Урок Миролюбия;0
23;Однажды;0
24;Выбор;0
25;Ваня и котенок ;0
26;Первые;0
27;ЖИЛ-БЫЛ;0
28;Приключения Петра Первого в Санкт-Петербурге;0
29;ЗОНА 100 или синий чемодан господина Наито;0
30;Кладоискатели;0
31;Следы на горячем песке;0
32;Флешка;0
1;Мы помним;1
3;Хоомей – душа народа;1
6;Сохранить дух Родины;1
13;Дети Донбасса;1
26;Путями русского офицера;1
28;Символ веры;1
29;Свет родного причала;1
30;…по нотам 42-го;1
5;Среда воспитания;2
6;Разрушители мифов;2
28;"Из ""маркизовой лужи"" к Южному материку";2
21;Будущее за нами!;2
22;Загадка Галиата;2
9;Сила в женщине;2
2;Кто главнее;3
16;"""В бою ничьих не бывает"" по новелле Енгибарова Леонида";3
18;Сказка о храбром зайце;3
24;Подслушанный разговор;3
31;Хранители города;3
1;Я-русский;4
4;Пехота наркомафии;4
5;Своих не бросаем!;4
7;Иная планета;4
15;Сделай выбор правильно;4
17;Буду офицерам;4
18;Наше Отечетсво - Россия;4
19;Пешеход! Освети себя!;4
25;Мама, я тебя люблю;4
26;Спасибо докторам;4
23;Жизнь;4
2;Ойся, ты ойся;5
3;Кадет – он завтра офицер;5
4;Бросок на небеса;5
7;Тишина;5
9;Эх, дороги;5
10;Наш край - Россия;5
11;Веселый ветер;5
12;Мой Петербург;5
15;Тебе поем, Отечество!;5
19;Генералиссимус Суворов;5
20;Страна, огромная как детство;5
21;Это наша земля;5
22;Тебе поем, Отечество!;5
23;Великаны;5
24;Майский вальс;5
25;За того парня;5
27;Потому что я русский по духу!;5
29;Я поднимаю свой флаг!;5
30;Нахимовский вальс;5
31;Тебе поем, Отечество!;5
32;Мурманск;5
